Index,screen_name,count,classification,user_defined_location,class,mean,std_dev,points>100,ratio
451,rinisha19,3,None,"Dubai, United Arab Emirates",2,503.6261668,1760.647162,428,0.010539368
452,AapShamsher,3,Resident,"Patparganj, New Delhi",1,0,0,0,
453,TRAVELL1NGBOOTS,3,None,"Gurgaon, Haryana",1,1649.497683,2507.811914,38,0.018181818
454,raviprakashca,3,Tourist,"New Delhi,Bihar, India.",1,159.2436372,308.7517006,23,0.022058824
455,Miyabhai_9591,3,None,"New Delhi, India",1,138.3902189,285.1090374,20,0.183098592
456,jyotiarora89,3,Resident,New Delhi,1,191.2975059,650.3343518,27,2.869565217
457,shaswat_doctor,3,Tourist,Mumbai,2,437.2355652,688.881717,120,0.018461538
458,DanzaManish,3,Resident,"New Delhi, India",1,200.4930369,454.4861134,23,2.6875
459,CrazyKadchi,3,None,Gurgaon,1,0,0,0,
460,Snehaa11,3,Tourist,INDIA,2,2664.793392,4617.808214,194,0.097484277
461,swaplovee,3,Resident,New Delhi,1,303.0884305,1619.304293,186,1.695652174
462,LingerieLook,3,Resident,"New Delhi, India",1,0,0,0,
463,GhumakkadBilla,3,Tourist,"Mumbai, India",2,4136.716265,4315.254877,121,0.047619048
464,FictionalWorm,3,Resident,"Delhi, India",1,85.84612034,457.51936,57,12.65116279
465,mstoursntravels,3,None,"New Delhi, India",1,42.65513146,213.6659102,4,0.019230769
466,511Deshdeepak,3,Tourist,"New Delhi, India",1,4.353080268,22.30213638,1,0.08
467,shal825,3,Resident,"New Delhi, India",1,0,0,0,
468,UmeedKiKiranNGO,3,None,"Rohini, New Delhi",1,122.2894632,347.6641429,9,0.222222222
469,unipsyin,3,Error,"New Friends Colony, New Delhi",1,1.364381366,3.340590592,0,0.4
470,ashucisf,3,Tourist,"New Delhi, India",1,83.25218249,361.0134455,3,4.666666667
471,rkchadda,3,Tourist,Toronto,2,2959.842184,4831.838647,1658,0.13433908
472,Muhamma28081571,3,Resident,"Basti, India",2,1.686944494,4.132153236,0,
473,nikhilmenan,3,Tourist,Faridabad-Haryana,1,4.451853687,8.820287858,0,0.27027027
474,DWBhukkad,3,Resident,"New Delhi, India",1,83.21995445,363.7450685,15,1.208955224
475,flyplanett,3,None,"New Delhi, India",1,1238.186312,2883.321718,168,0.157894737
476,PostmanPublic,3,None,New delhi,1,34.68570778,171.6497376,2,
477,mohitbhuhal360,3,Tourist,"Delhi, India",1,286.3953122,392.1234302,11,0.785714286
478,heavenyash1,3,None,"Hyderabad, India",2,527.4330167,1174.987755,13,
479,INDRJEET9664,3,None,"Gonda, India",2,7.832632549,6.121791027,0,
480,mr_24fitness,3,None,"Udaipur, India",2,1.219693191,19.0912182,1,
481,mehtabalam1,3,Resident,"New Delhi, India",1,68.05233865,595.151515,5,11.52
482,NewsquesIndia,3,Tourist,"New Delhi, India",1,3342.299101,5140.309512,78,0.364864865
483,virendarmeghana,3,None,meghana rajasthan,2,12.11577049,54.16643786,2,
484,lifelinepathlab,3,Resident,"Green Park, New Delhi",1,4.784874244,62.18265327,2,89.75
485,PrakashBelwade,3,Resident,"Mumbai, India",2,231.3483337,515.6538393,1,2
486,Abhishe7788,3,Tourist,New Delhi INDIA..,1,164.7921593,1247.049387,13,1.725490196
487,gya_prasad,3,None,Kirari Suleman Nagar Delhi,1,11.46456834,42.01839088,3,0.097560976
488,ayulifeindia,3,None,"Vatika City Mkt, Sec-49, GGM",1,4.586895665,4.971969967,0,
489,ashusaboo,3,Tourist,Pune,2,653.4892957,2029.276597,90,0.858895706
490,chatpatishikha,3,Tourist,"New Delhi, India",1,773.4017637,1973.953947,233,0.221556886
491,CadetPARMAR,3,None,"Gurgaon, India",1,961.717781,981.5589394,25,0.1
492,officiallyshail,3,Tourist,"New Delhi, India",1,1108.674272,1420.614614,34,0.4
493,tulsindia,3,None,New Delhi ,1,734.8446502,945.4510662,3,0.6
